admission_year,round,college_code,college_name,quota,closing_rank_air,seats_allotted_in_data
2026,Round 1,1101,GMC MUMBAI,D1 DEF1,17144,1
2026,Round 1,1101,GMC MUMBAI,D3 DEF3,6145,1
2026,Round 1,1101,GMC MUMBAI,EWS EWS,18286,13
2026,Round 1,1101,GMC MUMBAI,EWS EWS(W),16289,5
2026,Round 1,1101,GMC MUMBAI,EWS HA EWS,9770,1
2026,Round 1,1101,GMC MUMBAI,EWS HA EWS(W),16962,1
2026,Round 1,1101,GMC MUMBAI,EWS OPEN,4212,1
2026,Round 1,1101,GMC MUMBAI,EWS OPEN (W),4285,2
2026,Round 1,1101,GMC MUMBAI,EWS PWD PWD-EWS PH,428207,1
2026,Round 1,1101,GMC MUMBAI,HA HOPEN,2540,1
2026,Round 1,1101,GMC MUMBAI,MKB MKB W,27749,1
2026,Round 1,1101,GMC MUMBAI,NTB NTB,25593,3
2026,Round 1,1101,GMC MUMBAI,NTB NTB(W),29572,1
2026,Round 1,1101,GMC MUMBAI,NTB PWD PWD-NTB PH,842690,1
2026,Round 1,1101,GMC MUMBAI,NTC HA HNTC,35211,1
2026,Round 1,1101,GMC MUMBAI,NTC NTC,14070,5
2026,Round 1,1101,GMC MUMBAI,NTC NTC(W),9875,2
2026,Round 1,1101,GMC MUMBAI,NTD D1 DEF1,20168,1
2026,Round 1,1101,GMC MUMBAI,NTD EMNTD (EMR),7008,1
2026,Round 1,1101,GMC MUMBAI,NTD HA OPEN (EMD),4084,1
2026,Round 1,1101,GMC MUMBAI,NTD NTD,9397,2
2026,Round 1,1101,GMC MUMBAI,NTD NTD(W),10173,1
2026,Round 1,1101,GMC MUMBAI,OBC D2 DEF2,23926,1
2026,Round 1,1101,GMC MUMBAI,OBC EMOBC (EMR),8296,7
2026,Round 1,1101,GMC MUMBAI,OBC EMOBCW (EMR),6507,1
2026,Round 1,1101,GMC MUMBAI,OBC HA EMOBC (EMR),7678,1
2026,Round 1,1101,GMC MUMBAI,OBC HA HOBC,7090,1
2026,Round 1,1101,GMC MUMBAI,OBC HA HOPENW,1778,1
2026,Round 1,1101,GMC MUMBAI,OBC HA OBC,9820,4
2026,Round 1,1101,GMC MUMBAI,OBC OBC,10742,13
2026,Round 1,1101,GMC MUMBAI,OBC OBC(W),11713,9
2026,Round 1,1101,GMC MUMBAI,OBC OPEN (EMD),5827,8
2026,Round 1,1101,GMC MUMBAI,OBC OPEN (W) (EMD),6034,1
2026,Round 1,1101,GMC MUMBAI,OBC PWD HA PEM OBC PH (EMR),219740,1
2026,Round 1,1101,GMC MUMBAI,OBC PWD PWD-OBC PH,313119,1
2026,Round 1,1101,GMC MUMBAI,OBC PWD PWD-OPEN (EMD),118767,1
2026,Round 1,1101,GMC MUMBAI,OPEN,6376,22
2026,Round 1,1101,GMC MUMBAI,OPEN (W),6335,14
2026,Round 1,1101,GMC MUMBAI,PWD PWD-OPEN PH,143295,2
2026,Round 1,1101,GMC MUMBAI,SC D1 SC,40708,1
2026,Round 1,1101,GMC MUMBAI,SC HA HSCW,57410,1
2026,Round 1,1101,GMC MUMBAI,SC HA SC,27290,1
2026,Round 1,1101,GMC MUMBAI,SC PWD PWD-SC PH,529217,1
2026,Round 1,1101,GMC MUMBAI,SC SC,39767,15
2026,Round 1,1101,GMC MUMBAI,SC SC (W),39118,7
2026,Round 1,1101,GMC MUMBAI,SEBC EMSEBC (EMR),7723,3
2026,Round 1,1101,GMC MUMBAI,SEBC OPEN (EMD),5486,3
2026,Round 1,1101,GMC MUMBAI,SEBC SEBC,9244,9
2026,Round 1,1101,GMC MUMBAI,SEBC SEBC(W),11366,6
2026,Round 1,1101,GMC MUMBAI,SEBCD1 DEF1 W,17368,1
2026,Round 1,1101,GMC MUMBAI,SEBCHA HSEBC,12554,1
2026,Round 1,1101,GMC MUMBAI,SEBCPWD PWD-SEBC PH,452501,1
2026,Round 1,1101,GMC MUMBAI,SOBC OBC(W),8505,2
2026,Round 1,1101,GMC MUMBAI,ST HA ST (W),80676,1
2026,Round 1,1101,GMC MUMBAI,ST PWD PWD-ST PH,451144,1
2026,Round 1,1101,GMC MUMBAI,ST ST,127860,9
2026,Round 1,1101,GMC MUMBAI,ST ST (W),121540,4
2026,Round 1,1101,GMC MUMBAI,VJA PWD PWD-VJA PH,676033,1
2026,Round 1,1101,GMC MUMBAI,VJA VJA,14561,3
2026,Round 1,1101,GMC MUMBAI,VJA VJA (W),13205,2
2026,Round 1,1102,Tilak MC MUMBAI,D1 DEF1,20691,1
2026,Round 1,1102,Tilak MC MUMBAI,D3 DEF3,11684,1
2026,Round 1,1102,Tilak MC MUMBAI,EWS EWS,23775,8
2026,Round 1,1102,Tilak MC MUMBAI,EWS EWS(W),20317,5
2026,Round 1,1102,Tilak MC MUMBAI,EWS HA EWS,19888,1
2026,Round 1,1102,Tilak MC MUMBAI,EWS HA HEWS,14137,1
2026,Round 1,1102,Tilak MC MUMBAI,EWS ORP-C ORPHANC-EW Orphan-C EWS,413523,1
2026,Round 1,1102,Tilak MC MUMBAI,EWS PWD PWD-EWS PH,475884,1
2026,Round 1,1102,Tilak MC MUMBAI,HA HOPENW,12010,1
2026,Round 1,1102,Tilak MC MUMBAI,NTB NTB,46532,4
2026,Round 1,1102,Tilak MC MUMBAI,NTB NTB(W),33436,1
2026,Round 1,1102,Tilak MC MUMBAI,NTC D1 DEF1 W,17911,1
2026,Round 1,1102,Tilak MC MUMBAI,NTC NTC,15002,3
2026,Round 1,1102,Tilak MC MUMBAI,NTC NTC(W),17134,2
2026,Round 1,1102,Tilak MC MUMBAI,NTC PWD PWD-NTC PH,475280,1
2026,Round 1,1102,Tilak MC MUMBAI,NTD NTD,15954,2
2026,Round 1,1102,Tilak MC MUMBAI,NTD NTD(W),12573,1
2026,Round 1,1102,Tilak MC MUMBAI,OBC D2 DEF2 W,39228,1
2026,Round 1,1102,Tilak MC MUMBAI,OBC HA HOBC W,25913,1
2026,Round 1,1102,Tilak MC MUMBAI,OBC HA OBC,12209,1
2026,Round 1,1102,Tilak MC MUMBAI,OBC OBC,14587,17
2026,Round 1,1102,Tilak MC MUMBAI,OBC OBC(W),13894,8
2026,Round 1,1102,Tilak MC MUMBAI,OBC PWD PWD-OBC PH,403084,1
2026,Round 1,1102,Tilak MC MUMBAI,OPEN,4886,27
2026,Round 1,1102,Tilak MC MUMBAI,OPEN (W),5763,13
2026,Round 1,1102,Tilak MC MUMBAI,PWD HA PWD-OPEN PH,203403,1
2026,Round 1,1102,Tilak MC MUMBAI,PWD PWD-OPEN PH,271663,1
2026,Round 1,1102,Tilak MC MUMBAI,SC D1 SC,60578,1
2026,Round 1,1102,Tilak MC MUMBAI,SC HA HSC,50397,1
2026,Round 1,1102,Tilak MC MUMBAI,SC HA SC,62747,1
2026,Round 1,1102,Tilak MC MUMBAI,SC PWD PWD-SC PH,373042,1
2026,Round 1,1102,Tilak MC MUMBAI,SC SC,65934,11
2026,Round 1,1102,Tilak MC MUMBAI,SC SC (W),62403,7
2026,Round 1,1102,Tilak MC MUMBAI,SEBC EMSEBC (EMR),7988,1
2026,Round 1,1102,Tilak MC MUMBAI,SEBC OPEN,4700,1
2026,Round 1,1102,Tilak MC MUMBAI,SEBC OPEN (EMD),4735,1
2026,Round 1,1102,Tilak MC MUMBAI,SEBC SEBC,14707,9
2026,Round 1,1102,Tilak MC MUMBAI,SEBC SEBC(W),14540,5
2026,Round 1,1102,Tilak MC MUMBAI,SEBCD1 DEF1,22962,1
2026,Round 1,1102,Tilak MC MUMBAI,SEBCHA HSEBC,16323,1
2026,Round 1,1102,Tilak MC MUMBAI,SEBCPWD PWD-SEBC PH,588102,1
2026,Round 1,1102,Tilak MC MUMBAI,SOBC OBC,13912,2
2026,Round 1,1102,Tilak MC MUMBAI,SOBC OBC(W),12782,1
2026,Round 1,1102,Tilak MC MUMBAI,ST D2 ST (W),129865,1
2026,Round 1,1102,Tilak MC MUMBAI,ST HA ST,179010,1
2026,Round 1,1102,Tilak MC MUMBAI,ST ST,178029,7
2026,Round 1,1102,Tilak MC MUMBAI,ST ST (W),152491,2
2026,Round 1,1102,Tilak MC MUMBAI,VJA PWD PWD-OPEN PH,226577,1
2026,Round 1,1102,Tilak MC MUMBAI,VJA VJA,26651,4
2026,Round 1,1102,Tilak MC MUMBAI,VJA VJA (W),15534,1
2026,Round 1,1103,GSMC MUMBAI,D1HA DEF1 W,11400,1
2026,Round 1,1103,GSMC MUMBAI,D2 DEF2,389,1
2026,Round 1,1103,GSMC MUMBAI,D3 DEF3,3809,1
